rule_type,brand,style_name,serial_regex,date_fields,example_serials,decade_ambiguity,guidance_action,guidance_text,evidence_excerpt,source_url,retrieved_on
guidance,AAF,Style 1:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,AUB U 08 05 00386,AUB U 08 05 00386,https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
guidance,AAF,Style 2:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,55A1234501,55A1234501,https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
guidance,AAF,Style 3:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,5PB1234503,5PB1234503,https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
decode,AAF,Style 1: AUB U 08 05 00386,^[A][U][B][U]\d{9}$,"{""year"": {""positions"": {""start"": 5, ""end"": 6}}, ""week"": {""positions"": {""start"": 7, ""end"": 8}}}","[""AUBU080500386""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture is 5th & 6th characters combined.
Week of manufacture is 7th & 8th characters combined.
This style was first introduced in 1999",https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
decode,AAF,Style 2: 5 5 A 123501,^\d{2}[A]\d{6}$,"{""year"": {""positions"": {""start"": 2, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""55A123501""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture is 2nd character .
Month of manufacture is 3rd character .
This style was used from 1995 to 1999",https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
decode,AAF,Style 3: 5 P B 1234503,^\d[P][B]\d{7}$,"{""year"": {""positions"": {""start"": 2, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""5PB1234503""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture is 2nd character .
Month of manufacture is 3rd character .
This style was used from 1971 to 1995",https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
guidance,AAON,Style 2:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,97JKGK153,97JKGK153,https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
guidance,AAON,Style 3:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,AKEC08701,AKEC08701,https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
decode,AAON,Style 1: 2001 08 AKG26241,^\d{6}[A][K][G]\d{5}$,"{""year"": {""positions"": {""start"": 1, ""end"": 4}}, ""month"": {""positions"": {""start"": 5, ""end"": 6}}}","[""200108AKG26241""]","{""is_ambiguous"": false, ""notes"": """"}",,,"Year of manufacture can be determined by using the 1 st - 4 th numerical digits
Month of manufacture can be determined by using the 5 th - 6 th numerical digits",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
decode,AAON,Style 2: 97 J KGK153,^\d{2}[J][K][G][K]\d{3}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""97JKGK153""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined using the 1 st & 2 nd numerical digits
Month of manufacture can be determined using the 3 rd character (see chart)",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
decode,AAON,Style 3: AKEC0 87 01,^[A][K][E][C]\d{5}$,"{""year"": {""positions"": {""start"": 6, ""end"": 7}}, ""month"": {""positions"": {""start"": 8, ""end"": 9}}}","[""AKEC08701""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined using the 6 th &7 th numerical digits
Month of manufacture can be determined using the 8 th & 9 th numerical digits",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
guidance,AbsolutAire,Style 1: 14522,,{},[],"{""is_ambiguous"": true, ""notes"": ""No deterministic decode rule provided""}",contact_manufacturer,"Currently the only known method to determine manufacture date is to contact the manufacturer directly .
If you have updated information regarding this brand, please let us know!","Currently the only known method to determine manufacture date is to contact the manufacturer directly .
If you have updated information regarding this brand, please let us know!",https://www.building-center.org/absolutaire-hvac-age/,2026-01-25T03:33:32Z
guidance,ACiQ,Style 1:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,G 05 16 50885,G 05 16 50885,https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z
guidance,ACiQ,Style 2:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,"C703239530315908400008 See Midea
Legend: Year is RED ;  Month is GREEN ; Week is BLUE
NOTE:
ACiQ is a private label brand that appears to utilize both ICP (Carrier Global) and Media rebranded OEM products. The products under the ACiQ label are typically sold direct-to-consumer via online retail dealers. Conventional central heating and air conditioning systems as well as commercial heating/cooling systems will have most likely been manufactured by ICP (Carrier Global) and utilize ICP style serial numbers. Ductless split systems will most likely have been manufactured by Midea and utilize Midea style serial numbers.
See also ICP and Midea for additional serial number information.","C703239530315908400008 See Midea
Legend: Year is RED ;  Month is GREEN ; Week is BLUE
NOTE:
ACiQ is a private label brand that appears to utilize both ICP (Carrier Global) and Media rebranded OEM prod",https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z
decode,ACiQ,Style 1: G 05 16 50885,^[G]\d{9}$,"{""year"": {""positions"": {""start"": 2, ""end"": 3}}, ""week"": {""positions"": {""start"": 4, ""end"": 5}}}","[""G051650885""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"This particular style is an ICP style serial number reflecting the original equipment manufacturer serial numbering system.
Year of manufacture can be determined by using the 2 nd & 3 rd positions of ",https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z
guidance,Adams,Style 1: 1220119,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,Legend: Year is RED ;  Month is GREEN ; Week is BLUE,Legend: Year is RED ;  Month is GREEN ; Week is BLUE,https://www.building-center.org/adams-hvac-age/,2026-01-25T03:33:35Z
decode,Adams,Style 1: 1220119,^\d{7}$,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}","[""1220119""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the A",https://www.building-center.org/adams-hvac-age/,2026-01-25T03:33:35Z
guidance,APCO,Style 1:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,00 99 20304091,00 99 20304091,https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z
guidance,APCO,Style 2:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,07 10-043-115-0006,07 10-043-115-0006,https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z
guidance,APCO,Style 3: 2,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,"86 07 168189
See Also Fedders
See Also Heat Controller
See Also WeatherKing
See Also Rheem
Legend: Year is RED ;  Month is GREEN ; Week is BLUE","86 07 168189
See Also Fedders
See Also Heat Controller
See Also WeatherKing
See Also Rheem
Legend: Year is RED ;  Month is GREEN ; Week is BLUE",https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z
