rule_type,brand,style_name,serial_regex,date_fields,example_serials,decade_ambiguity,guidance_action,guidance_text,evidence_excerpt,source_url,retrieved_on
decode,AAF,Style 1: AUB U 08 05 00386,^[A][U][B][U]\d{9}$,"{""year"": {""positions"": {""start"": 5, ""end"": 6}}, ""week"": {""positions"": {""start"": 7, ""end"": 8}}}","[""AUBU080500386""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture is 5th & 6th characters combined.
Week of manufacture is 7th & 8th characters combined.
This style was first introduced in 1999",https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
decode,AAF,Style 2: 5 5 A 123501,^\d{2}[A]\d{6}$,"{""year"": {""positions"": {""start"": 2, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""55A123501""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture is 2nd character .
Month of manufacture is 3rd character .
This style was used from 1995 to 1999",https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
decode,AAF,Style 3: 5 P B 1234503,^\d[P][B]\d{7}$,"{""year"": {""positions"": {""start"": 2, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""5PB1234503""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture is 2nd character .
Month of manufacture is 3rd character .
This style was used from 1971 to 1995",https://www.building-center.org/aaf-hvac-age/,2026-01-25T03:33:30Z
decode,AAON,Style 1: 2001 08 AKG26241,^\d{6}[A][K][G]\d{5}$,"{""year"": {""positions"": {""start"": 1, ""end"": 4}}, ""month"": {""positions"": {""start"": 5, ""end"": 6}}}","[""200108AKG26241""]","{""is_ambiguous"": false, ""notes"": """"}",,,"Year of manufacture can be determined by using the 1 st - 4 th numerical digits
Month of manufacture can be determined by using the 5 th - 6 th numerical digits",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
decode,AAON,Style 2: 97 J KGK153,^\d{2}[J][K][G][K]\d{3}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""97JKGK153""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined using the 1 st & 2 nd numerical digits
Month of manufacture can be determined using the 3 rd character (see chart)",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
decode,AAON,Style 3: AKEC0 87 01,^[A][K][E][C]\d{5}$,"{""year"": {""positions"": {""start"": 6, ""end"": 7}}, ""month"": {""positions"": {""start"": 8, ""end"": 9}}}","[""AKEC08701""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined using the 6 th &7 th numerical digits
Month of manufacture can be determined using the 8 th & 9 th numerical digits",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z
guidance,AbsolutAire,Style 1: 14522,,{},[],"{""is_ambiguous"": true, ""notes"": ""No deterministic decode rule provided""}",contact_manufacturer,"Currently the only known method to determine manufacture date is to contact the manufacturer directly .
If you have updated information regarding this brand, please let us know!","Currently the only known method to determine manufacture date is to contact the manufacturer directly .
If you have updated information regarding this brand, please let us know!",https://www.building-center.org/absolutaire-hvac-age/,2026-01-25T03:33:32Z
decode,ACiQ,Style 1: G 05 16 50885,^[G]\d{9}$,"{""year"": {""positions"": {""start"": 2, ""end"": 3}}, ""week"": {""positions"": {""start"": 4, ""end"": 5}}}","[""G051650885""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"This particular style is an ICP style serial number reflecting the original equipment manufacturer serial numbering system.
Year of manufacture can be determined by using the 2 nd & 3 rd positions of ",https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z
decode,Adams,Style 1: 1220119,^\d{7}$,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}","[""1220119""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the A",https://www.building-center.org/adams-hvac-age/,2026-01-25T03:33:35Z
decode,APCO,Style 1: 00 99 20304091,^\d{12}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}}","[""009920304091""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number,https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z
decode,APCO,Style 2: 07 10 -043-115-0006,^\d{4}[A-Z0-9-]\d{3}[A-Z0-9-]\d{3}[A-Z0-9-]\d{4}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}}","[""0710-043-115-0006""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number
Note: This is a Roberts-Gordon style number",https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z
decode,APCO,Style 3: 2 86 07 168189,^\d{11}$,"{""year"": {""positions"": {""start"": 2, ""end"": 3}}}","[""28607168189""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 2 nd & 3 rd positions of the serial number
Note: This is a pre-1990 style number
Addison (APCO)® History¹ 1949 - Addison Products Company (APCO) foun",https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z
guidance,Adirondack-Aire,Style 1: Unknown,,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}",[],"{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the ANSI or CSA standards to determine approximate Date of Manufacture.
Most manufacturers today are required to include the manufacture compliance standard on the data tag. For the U.S. the compliance standard is typically from the American National Standards Institute (ANSI). For Canada, a common standard compliance is through the Canada Standards Association Group (CSA). Many times both standards are listed. Regardless, the specific standard will normally be listed on the data tag/plate and followed by the YEAR of the last revision (often the year is placed in parenthesis or follows the hyphen a","Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the A",https://www.building-center.org/adirondackaire-hvac-age/,2026-01-25T03:33:38Z
decode,ADP,Style 1: 56 10 M 00000,^\d{4}[M]\d{5}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}, ""month"": {""positions"": {""start"": 5, ""end"": 5}}}","[""5610M00000""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number
Month of manufacture can be determined by using the 5 th position of the serial number (See chart below)
A",https://www.building-center.org/adp-hvac-age/,2026-01-25T03:33:39Z
