rule_type,brand,style_name,serial_regex,date_fields,example_serials,decade_ambiguity,guidance_action,guidance_text,evidence_excerpt,source_url,retrieved_on,image_urls
decode,AAONAIRE,Style 2:,^\d{2}[J][K][G][K]\d{3}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""97JKGK153""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 2: 97JKGK153 Style 3: AKEC08701 Style 1: 2001 08 AKG26241 Year of manufacture can be determined by using the 1 st - 4 th numerical digits Month of manufacture can be determined by using the 5 th,https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z,[]
decode,AAONAIRE,Style 3:,^[A][K][E][C]\d{5}$,"{""year"": {""positions"": {""start"": 6, ""end"": 7}}, ""month"": {""positions"": {""start"": 8, ""end"": 9}}}","[""AKEC08701""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 3: AKEC08701 Style 1: 2001 08 AKG26241 Year of manufacture can be determined by using the 1 st - 4 th numerical digits Month of manufacture can be determined by using the 5 th - 6 th numerical d,https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z,[]
decode,AAONAIRE,Style 1: 2001 08 AKG26241,^\d{6}[A][K][G]\d{5}$,"{""year"": {""positions"": {""start"": 1, ""end"": 4}}, ""month"": {""positions"": {""start"": 5, ""end"": 6}}}","[""200108AKG26241""]","{""is_ambiguous"": false, ""notes"": """"}",,,"Year of manufacture can be determined by using the 1 st - 4 th numerical digits
Month of manufacture can be determined by using the 5 th - 6 th numerical digits",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z,"[""https://www.building-center.org/wp-content/uploads/2016/10/AAON_AAONAIRE-Serial-Number-Style-1a_How-to-determine-the-date-of-manufacture_production_age-1.png""]"
decode,AAONAIRE,Style 2: 97 J KGK153,^\d{2}[J][K][G][K]\d{3}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""97JKGK153""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined using the 1 st & 2 nd numerical digits
Month of manufacture can be determined using the 3 rd character (see chart)",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z,"[""https://www.building-center.org/wp-content/uploads/2016/10/AAON_AAONAIRE-Serial-Number-Style-2_How-to-determine-the-date-of-manufacture_production_age.png""]"
decode,AAONAIRE,Style 3: AKEC0 87 01,^[A][K][E][C]\d{5}$,"{""year"": {""positions"": {""start"": 6, ""end"": 7}}, ""month"": {""positions"": {""start"": 8, ""end"": 9}}}","[""AKEC08701""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined using the 6 th &7 th numerical digits
Month of manufacture can be determined using the 8 th & 9 th numerical digits",https://www.building-center.org/aaonaire-hvac-age/,2026-01-25T03:33:31Z,"[""https://www.building-center.org/wp-content/uploads/2016/10/AAON_AAONAIRE-Serial-Number-Style-3_How-to-determine-the-date-of-manufacture_production_age.png""]"
guidance,ABS,Style 1: RN 0197 147899,,{},[],"{""is_ambiguous"": true, ""notes"": ""Year positions not captured from text; chart/image likely required""}",chart_required,Year positions not captured from text; chart/manual review required. Images: https://www.building-center.org/wp-content/uploads/2017/08/ABS-Water-Heater.jpg,Every effort is undertaken to offer you correct and concise information to assist you in determining the age or manufacture date of water heating equipment. Anytime anyone is dealing with numbers and ,https://www.building-center.org/abs-water-heater-age/,2026-01-25T05:45:17Z,"[""https://www.building-center.org/wp-content/uploads/2017/08/ABS-Water-Heater.jpg""]"
guidance,ABSOLUTAIRE,Style 1: 14522,,{},[],"{""is_ambiguous"": true, ""notes"": ""No deterministic decode rule provided""}",contact_manufacturer,"Currently the only known method to determine manufacture date is to contact the manufacturer directly .
If you have updated information regarding this brand, please let us know!","Currently the only known method to determine manufacture date is to contact the manufacturer directly .
If you have updated information regarding this brand, please let us know!",https://www.building-center.org/absolutaire-hvac-age/,2026-01-25T03:33:32Z,[]
guidance,ACE,Style 2: C06 A136750,,{},[],"{""is_ambiguous"": true, ""notes"": ""Year positions not captured from text; chart/image likely required""}",chart_required,Year positions not captured from text; chart/manual review required. Images: https://www.building-center.org/wp-content/uploads/2017/08/ACE2-Water-Heater.jpg,Every effort is undertaken to offer you correct and concise information to assist you in determining the age or manufacture date of water heating equipment. Anytime anyone is dealing with numbers and ,https://www.building-center.org/ace-water-heater-age/,2026-01-25T05:45:18Z,"[""https://www.building-center.org/wp-content/uploads/2017/08/ACE2-Water-Heater.jpg""]"
decode,ACEOR,Style 1: 200- 06 B 13871 -or- 400- 20 K 06440,^\d{2}[BK]\d{5}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""06B13871"", ""20K06440""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: 200- 06 B 13871 -or- 400- 20 K 06440 Legend: Year is RED ; Month is GREEN ; Week is BLUE →Style 1: 200- 06 B 13871 -or- 400- 20 K 06440 Year of manufacture can be determined by using the 1 st,https://www.building-center.org/aceor-water-heater-age/,2026-01-25T05:45:20Z,[]
decode,ACIQ,Style 1:,^[G]\d{9}$,"{""year"": {""positions"": {""start"": 2, ""end"": 3}}, ""week"": {""positions"": {""start"": 4, ""end"": 5}}}","[""G051650885""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: G 05 16 50885 Style 2: C703239530315908400008 See Midea Legend: Year is RED ; Month is GREEN ; Week is BLUE NOTE: ACiQ is a private label brand that appears to utilize both ICP (Carrier Globa,https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z,[]
guidance,ACIQ,Style 2:,,{},[],"{""is_ambiguous"": true, ""notes"": ""No year position instructions found""}",no_data,"C703239530315908400008 See Midea
Legend: Year is RED ;  Month is GREEN ; Week is BLUE
NOTE:
ACiQ is a private label brand that appears to utilize both ICP (Carrier Global) and Media rebranded OEM products. The products under the ACiQ label are typically sold direct-to-consumer via online retail dealers. Conventional central heating and air conditioning systems as well as commercial heating/cooling systems will have most likely been manufactured by ICP (Carrier Global) and utilize ICP style serial numbers. Ductless split systems will most likely have been manufactured by Midea and utilize Midea style serial numbers.
See also ICP and Midea for additional serial number information.","C703239530315908400008 See Midea
Legend: Year is RED ;  Month is GREEN ; Week is BLUE
NOTE:
ACiQ is a private label brand that appears to utilize both ICP (Carrier Global) and Media rebranded OEM prod",https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z,[]
decode,ACIQ,Style 1: G 05 16 50885,^[G]\d{9}$,"{""year"": {""positions"": {""start"": 2, ""end"": 3}}, ""week"": {""positions"": {""start"": 4, ""end"": 5}}}","[""G051650885""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"This particular style is an ICP style serial number reflecting the original equipment manufacturer serial numbering system.
Year of manufacture can be determined by using the 2 nd & 3 rd positions of ",https://www.building-center.org/aciq-hvac-age/,2026-01-25T03:33:33Z,"[""https://www.building-center.org/wp-content/uploads/2017/08/ICP-1-Serial-Number.jpg"", ""https://www.building-center.org/wp-content/uploads/2017/08/ICP-1-Serial-Photo.jpg""]"
decode,ADAMS,Style 1: 1220119,^\d{7}$,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}","[""1220119""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: 1220119 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 1220119 Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us ,https://www.building-center.org/adams-hvac-age/,2026-01-25T03:33:35Z,[]
decode,ADDISON,Style 1:,^\d{12}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}}","[""009920304091""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: 00 99 20304091 Style 2: 07 10-043-115-0006 Style 3: 2 86 07 168189 See Also Fedders See Also Heat Controller See Also WeatherKing See Also Rheem Legend: Year is RED ; Month is GREEN ; Week is,https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z,[]
decode,ADDISON,Style 2:,^\d{2}[A-Z0-9-]\d{3}[A-Z0-9-]\d{3}[A-Z0-9-]\d{4}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}}","[""10-043-115-0006""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 2: 07 10-043-115-0006 Style 3: 2 86 07 168189 See Also Fedders See Also Heat Controller See Also WeatherKing See Also Rheem Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 00 99 203,https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z,[]
decode,ADDISON,Style 3: 2,^\d{10}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""8607168189""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"86 07 168189
See Also Fedders
See Also Heat Controller
See Also WeatherKing
See Also Rheem
Legend: Year is RED ;  Month is GREEN ; Week is BLUE",https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z,[]
decode,ADDISON,Style 1: 00 99 20304091,^\d{12}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}}","[""009920304091""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number,https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z,"[""https://www.building-center.org/wp-content/uploads/2023/12/Addison-HVAC-style-1.jpg""]"
decode,ADDISON,Style 2: 07 10 -043-115-0006,^\d{4}[A-Z0-9-]\d{3}[A-Z0-9-]\d{3}[A-Z0-9-]\d{4}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}}","[""0710-043-115-0006""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number
Note: This is a Roberts-Gordon style number",https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z,"[""https://www.building-center.org/wp-content/uploads/2023/12/Addison-HVAC-style-2.jpg""]"
decode,ADDISON,Style 3: 2 86 07 168189,^\d{11}$,"{""year"": {""positions"": {""start"": 2, ""end"": 3}}, ""month"": {""positions"": {""start"": 4, ""end"": 5}}}","[""28607168189""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 2 nd & 3 rd positions of the serial number
Note: This is a pre-1990 style number
Addison (APCO)® History¹ 1949 - Addison Products Company (APCO) foun",https://www.building-center.org/addison-hvac-age/,2026-01-25T03:33:37Z,"[""https://www.building-center.org/wp-content/uploads/2023/12/Addison-HVAC-style-3.jpg""]"
guidance,ADIRONDACKAIRE,Style 1: Unknown,,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}",[],"{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"Style 1: Unknown Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: Unknown Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information. Email us at [email protected] Using the ANSI or CSA standards to determine approximate Date of Manufacture. Most manufacturers today are required to include the manufacture compliance standard on the data tag. For the U.S. the compliance standard is typically from the American National Standards Institute (ANSI). For Canada, a common standard compliance is through the Canada Standards Association Group (CSA). Many times both standards are listed. Regardless, the specific standard will normally be listed on the data tag/plate and followed by the YEAR",Style 1: Unknown Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: Unknown Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us ,https://www.building-center.org/adirondackaire-hvac-age/,2026-01-25T03:33:38Z,[]
guidance,ADIRONDACKAIRE,Style 1: Unknown,,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}","[""4TO6YEARS""]","{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the ANSI or CSA standards to determine approximate Date of Manufacture.
Most manufacturers today are required to include the manufacture compliance standard on the data tag. For the U.S. the compliance standard is typically from the American National Standards Institute (ANSI). For Canada, a common standard compliance is through the Canada Standards Association Group (CSA). Many times both standards are listed. Regardless, the specific standard will normally be listed on the data tag/plate and followed by the YEAR of the last revision (often the year is placed in parenthesis or follows the hyphen a","Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the A",https://www.building-center.org/adirondackaire-hvac-age/,2026-01-25T03:33:38Z,"[""https://www.building-center.org/wp-content/uploads/2015/09/ANSI-Date-Code.png""]"
decode,ADP,Style 1: 56,^\d{2}[M]\d{5}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""10M00000""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: 56 10 M 00000 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 56 10 M 00000 Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number Month of,https://www.building-center.org/adp-hvac-age/,2026-01-25T03:33:39Z,[]
decode,ADP,Style 1: 56 10 M 00000,^\d{4}[M]\d{5}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}, ""month"": {""positions"": {""start"": 5, ""end"": 5}}}","[""5610M00000""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number
Month of manufacture can be determined by using the 5 th position of the serial number (See chart below)
A",https://www.building-center.org/adp-hvac-age/,2026-01-25T03:33:39Z,"[""https://www.building-center.org/wp-content/uploads/2015/09/Style-1_ADP-Date-of-Manufacture_Serial-Number-Nomenclature.png"", ""https://www.building-center.org/wp-content/uploads/2015/09/Style-1_ADP-Date-of-Manufacture_Serial-Number-Nomenclature_Data-Plate.png""]"
guidance,ADVANTAGE,Style 2: 76507,,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}",[],"{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"Style 2: 76507 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 104391 Style 2 : 76507 Unfortunately we are unable to determine the date of manufacture or age of these units from use of the serial number. Advantage Engineering does however provide a ""Date"" on their data tags. For units that do not have a date imprinted on the data tag, contact Advantage. (See contact info below). Using the ANSI or CSA standards to determine approximate Date of Manufacture. Most manufacturers today are required to include the manufacture compliance standard on the data tag. For the U.S. the compliance standard is typically from the American National Standards Institute (ANSI). For Canada, a common standard compliance is through the Canada Standards Association Group (CSA). Many times both standa",Style 2: 76507 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 104391 Style 2 : 76507 Unfortunately we are unable to determine the date of manufacture or age of these units from use of th,https://www.building-center.org/advantage-hvac-age/,2026-01-25T03:33:40Z,[]
decode,AEC,Style 1:,^\d{2}[B]\d{4}[L][E][G][E][N][D]$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""98B0552LEGEND""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: 98 B 0552 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 98 B 0552 Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number Month of manufac,https://www.building-center.org/aec-hvac-age/,2026-01-25T03:33:42Z,[]
decode,AEC,Style 1: 98 B 0552,^\d{2}[B]\d{4}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 3}}}","[""98B0552""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number
Month of manufacture can be determined by using the 3 rd positions of the serial number (See chart below)
",https://www.building-center.org/aec-hvac-age/,2026-01-25T03:33:42Z,"[""https://www.building-center.org/wp-content/uploads/2015/09/Style-1_AEC-Date-of-Manufacture_Serial-Number-Nomenclature.png""]"
decode,AERO,Style 1:,^\d{9}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""020912345""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 1: 02 09 12345 Style 2: 03 06 B 1377 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 02 09 12345 Year of manufacture can be determined by using the 1 st & 2 nd positions of the seri,https://www.building-center.org/aero-hvac-age/,2026-01-25T03:33:43Z,[]
decode,AERO,Style 2:,^\d{4}[B]\d{4}[L][E][G][E][N][D]$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""0306B1377LEGEND""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,Style 2: 03 06 B 1377 Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: 02 09 12345 Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number Month of ma,https://www.building-center.org/aero-hvac-age/,2026-01-25T03:33:43Z,[]
decode,AERO,Style 1: 02 09 12345,^\d{9}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""020912345""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number
Month of manufacture can be determined by using the 3 rd & 4 th positions of the serial number",https://www.building-center.org/aero-hvac-age/,2026-01-25T03:33:43Z,"[""https://www.building-center.org/wp-content/uploads/2015/10/AERO-Date-of-Manufacture_Serial-Number-Nomenclature.png""]"
decode,AERO,Style 2: 03 06 B 1377,^\d{4}[B]\d{4}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""0306B1377""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Note: This style from an oil-fired water heater manufactured by Aero under the Bradford White brand (after acquisition in 2002)
Year of manufacture can be determined by using the 1 st & 2 nd positions",https://www.building-center.org/aero-hvac-age/,2026-01-25T03:33:43Z,"[""https://www.building-center.org/wp-content/uploads/2025/02/Bradford-White-oil-fired-Aero2-scaled.jpg""]"
guidance,AEROFLO,Style 1: UNKNOWN,,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}",[],"{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"Style 1: UNKNOWN Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: Unknown Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information. Email us at [email protected] Using the ANSI or CSA standards to determine approximate Date of Manufacture. Most manufacturers today are required to include the manufacture compliance standard on the data tag. For the U.S. the compliance standard is typically from the American National Standards Institute (ANSI). For Canada, a common standard compliance is through the Canada Standards Association Group (CSA). Many times both standards are listed. Regardless, the specific standard will normally be listed on the data tag/plate and followed by the YEAR",Style 1: UNKNOWN Legend: Year is RED ; Month is GREEN ; Week is BLUE Style 1: Unknown Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us ,https://www.building-center.org/aeroflo-hvac-age/,2026-01-25T03:33:44Z,[]
guidance,AEROFLO,Style 1: Unknown,,"{""year"": {""positions"": {""start"": 4, ""end"": 6}}}","[""4TO6YEARS""]","{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the ANSI or CSA standards to determine approximate Date of Manufacture.
Most manufacturers today are required to include the manufacture compliance standard on the data tag. For the U.S. the compliance standard is typically from the American National Standards Institute (ANSI). For Canada, a common standard compliance is through the Canada Standards Association Group (CSA). Many times both standards are listed. Regardless, the specific standard will normally be listed on the data tag/plate and followed by the YEAR of the last revision (often the year is placed in parenthesis or follows the hyphen a","Unfortunately we are unable to determine the date of manufacture or age of these units. Perhaps you can assist us in our research with additional information.
Email us at [email protected]
Using the A",https://www.building-center.org/aeroflo-hvac-age/,2026-01-25T03:33:44Z,"[""https://www.building-center.org/wp-content/uploads/2015/09/ANSI-Date-Code.png""]"
guidance,AEROSYS INCORPORATED,Style 1: E03 CW4F361,,{},[],"{""is_ambiguous"": true, ""notes"": ""Year positions not captured from text; chart/image likely required""}",chart_required,Year positions not captured from text; chart/manual review required. Images: https://building-center.org/wp-content/uploads/2017/08/AeroSys-Incorporated1-HVAC-Age.jpg,Every effort is undertaken to offer you correct and concise information to assist you in determining the age or manufacture date of water heating equipment. Anytime anyone is dealing with numbers and ,https://www.building-center.org/aerosys-incorporated-hvac-age/,2026-01-25T03:33:45Z,"[""https://building-center.org/wp-content/uploads/2017/08/AeroSys-Incorporated1-HVAC-Age.jpg""]"
