Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,NAICS Sector Code,NAICS Subsector Code,NAICS Industry Group Code,NAICS Industry Code,NAICS National Industry Code,Method,Status,Confidence,Rationale,Support Category,Company Website,Company Logo URL,Company Logo URL (Apistemic),Company Logo URL (Logo.dev),IsMerge,MergeGroupSize
Kppe,KPPE,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Optimira Energy,OPTIMIRA ENERGY,Unknown / Needs Review,Unidentified,541690,54,541,5416,54169,541690,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,optimira.com,,https://logos-api.apistemic.com/domain:optimira.com,https://img.logo.dev/optimira.com?size=128&format=png&retina=true,FALSE,1
Pentagon Group,PENTAGON GROUP,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Rejay Group,REJAY GROUP,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,Unidentified,531120,53,531,5311,53112,531120,Unclassified,Final,High,Verified enrichment updated: NAICS,,,,,,FALSE,1
Scos,SCOS,Unknown / Needs Review,Unidentified,531312,53,531,5313,53131,531312,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,koellamoore.com,,https://logos-api.apistemic.com/domain:koellamoore.com,https://img.logo.dev/koellamoore.com?size=128&format=png&retina=true,FALSE,1
Skico,SKICO,Unknown / Needs Review,Unidentified,813410,81,813,8134,81341,813410,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,lexskisnowboard.org,,https://logos-api.apistemic.com/domain:lexskisnowboard.org,https://img.logo.dev/lexskisnowboard.org?size=128&format=png&retina=true,FALSE,1
Smobee,SMOBEE,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Sssb,SSSB,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Step Resources,STEP RESOURCES,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Thoth,THOTH,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
