Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Aigc Solutions,AIGC SOLUTIONS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Clarke Americanmirc Express,CLARKE AMERICANMIRC EXPRESS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Dcm Products,DCM PRODUCTS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Det Beverages,DET BEVERAGES,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Downtime Rebuild,DOWNTIME REBUILD,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Eco Tec Engineering,ECO TEC ENGINEERING,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Equivis Nora,EQUIVIS NORA,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Excel Clips,EXCEL CLIPS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Ez Iron Serivce,EZ IRON SERIVCE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Fast of Northwest Ohio,FAST OF NORTHWEST OHIO,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Festo,FESTO,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Festo Corp'),,,FALSE,1
Fiera Capital,FIERA CAPITAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fiera Capital'),,,FALSE,1
Fillauer Land Tennessee and Cornerstone Commercial Real Est,FILLAUER LAND TENNESSEE AND CORNERSTONE COMMERCIAL REAL EST,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Fillauer Land Tennessee, Llc And Cornerstone Commercial Real Est')",,,FALSE,1
Finnegan and James,FINNEGAN AND JAMES,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Finnegan & James, Llc')",,,FALSE,1
Firestone Diversified Products,FIRESTONE DIVERSIFIED PRODUCTS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Firestone Diversified Products, Llc')",,,FALSE,1
Firestone Industrial Products,FIRESTONE INDUSTRIAL PRODUCTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Firestone Industrial Products'),,,FALSE,1
First Highland Group,FIRST HIGHLAND GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'First Highland Group'),,,FALSE,1
First Student,FIRST STUDENT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'First Student Inc.'),,,FALSE,1
Fisher Auto Parts,FISHER AUTO PARTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fisher Auto Parts'),,,FALSE,1
Fisher Scientific,FISHER SCIENTIFIC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fisher Scientific'),,,FALSE,1
Five Below,FIVE BELOW,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Five Below'),,,FALSE,1
Fives,FIVES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fives'),,,FALSE,1
Fives Intralogistics,FIVES INTRALOGISTICS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fives Intralogistics Corp'),,,FALSE,1
Flexpac,FLEXPAC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Flexpac'),,,FALSE,1
Flint Group,FLINT GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Flint Group'),,,TRUE,2
Florim USA,FLORIM USA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Florim Usa'),,,FALSE,1
Flowers Bakery,FLOWERS BAKERY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Flowers Bakery'),,,FALSE,1
Flowers Baking Crossville,FLOWERS BAKING CROSSVILLE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Flowers Baking Company Crossville'),,,FALSE,1
Fluid Handling Technology,FLUID HANDLING TECHNOLOGY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fluid Handling Technology'),,,FALSE,1
Flutes Hanna Ave,FLUTES HANNA AVE,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Flutes Hanna Ave, Llc')",,,FALSE,1
Focalpoint Communications,FOCALPOINT COMMUNICATIONS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Focalpoint Communications'),,,FALSE,1
Four Star Mechanical,FOUR STAR MECHANICAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Four Star Mechanical'),,,FALSE,1
Fox 56 News Wdky,FOX 56 NEWS WDKY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fox 56 News (Wdky)'),,,FALSE,1
Franklin Brazing and Metal Treatment,FRANKLIN BRAZING AND METAL TREATMENT,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Franklin Brazing'),,,TRUE,2
Freeman Expositions,FREEMAN EXPOSITIONS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Freeman Expositions, Llc')",,,FALSE,1
Freeman Schwabe,FREEMAN SCHWABE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Freeman Schwabe'),,,TRUE,2
Frontier Communications,FRONTIER COMMUNICATIONS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Frontier A Citizens Communications Company'),,,TRUE,4
Frye Mechanical,FRYE MECHANICAL,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Frye Mechanical, Inc.')",,,FALSE,1
Ft Scott Hoa,FT SCOTT HOA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ft Scott Hoa'),,,FALSE,1
Full Beauty Brands,FULL BEAUTY BRANDS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Full Beauty Brands'),,,FALSE,1
Fuzzy Zoellers Golf Courses,FUZZY ZOELLERS GOLF COURSES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Fuzzy Zoeller'S Golf Courses'),,,FALSE,1
G and D Chillers,G AND D CHILLERS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'G & D Chillers'),,,FALSE,1
G and J Pepsi,G AND J PEPSI,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'G & J Pepsi'),,,FALSE,1
Gaiam,GAIAM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Gaiam'),,,FALSE,1
Galatians Too,GALATIANS TOO,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Galatians Too Llc C/O Equity'),,,FALSE,1
Galatians Too III IV,GALATIANS TOO III IV,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Galatians Too Iii Iv Llc'),,,FALSE,1
Gallant Building Solutions,GALLANT BUILDING SOLUTIONS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Gallant Building Solutions'),,,FALSE,1
Games and Things,GAMES AND THINGS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Games & Things, Inc.')",,,FALSE,1
Gandy Seafood Market,GANDY SEAFOOD MARKET,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Gandy Seafood Market'),,,FALSE,1
