Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
DELUXE NAILS BILLING,,deluxenailsaloncincinnati.com,,812113,,Nail salon and spa services,Verified,High,Analyst,1,2026-01-20 16:04:48,
DIOCESE OF KNOXVILLE,,dioknox.org,,813110,,Religious organization,Verified,High,Analyst,1,2026-01-20 16:04:48,
DISABLED AMERICAN VETERANS,,dav.org,,813410,,Veterans nonprofit organization,Verified,High,Analyst,1,2026-01-20 16:04:48,
DMAC STATIONARY DEVELOPMENTS,,dmacdev.com,,334419,,Electronic mfg and software dev,Verified,High,Analyst,1,2026-01-20 16:04:48,
DO IT RIGHT EXCAVATING,,,,238910,,Site preparation and excavating,Verified,Medium,Analyst,1,2026-01-20 16:04:48,
DO NOT USE KNOXVILLE PROPERTIES PARTNERSHIP2CS,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:04:48,
DOLLAR GENERAL,,493110,,,,Retail distribution center (Walton,dollargeneral.com,Verified,Analyst,1,2026-01-20 16:04:48,Analyst
DOLLYWOOD,,dollywood.com,,713110,,Theme park and amusement,Verified,High,Analyst,1,2026-01-20 16:04:48,
DOLLYWOODS DREAM MORE RESORT,,,,721110,,Resort hotel and hospitality,Verified,High,Analyst,1,2026-01-20 16:04:48,
DOMINIUM,,dominiumapartments.com,,531110,,Multifamily housing development,Verified,High,Analyst,1,2026-01-20 16:04:48,
DOWNTOWN WEST VILLAGE II OWNERS ASSOCIATION,,,,,,,Verified,,Low,1,2026-01-20 16:04:48,
DREAM LOGISTICS,,dreamlogisticsusa.com,,488510,,3PL and logistics management,Verified,High,Analyst,1,2026-01-20 16:04:48,
DTWP,,,,,,,Verified,,Low,1,2026-01-20 16:04:48,
DUCK DONUTS KNOXVILLE,,duckdonuts.com,,722515,,Specialty doughnut shop,Verified,High,Analyst,1,2026-01-20 16:04:48,
E BEAM,,e-beamservices.com,,326199,,Electron beam processing services,Verified,High,Analyst,1,2026-01-20 16:04:48,
EAGLE COMPOSITES,,eagle-composites.com,,336413,,Aerospace composite manufacturing,Verified,High,Analyst,1,2026-01-20 16:04:48,
EAST TENNESSEE PUBLIC TELEVISION,,easttennesseepbs.org,,516120,,Public television broadcasting,Verified,High,Analyst,1,2026-01-20 16:04:48,
EBAY ENTERPRISE,,radial.com,,493110,,E-commerce fulfillment (now Radial),Verified,High,Analyst,1,2026-01-20 16:04:48,
ECS CENTRAL PLLC KNOXVILLE,,ecslimited.com,,541330,,Engineering consulting services,Verified,High,Analyst,1,2026-01-20 16:04:48,
EL TEQULIA BAR AND GRILL,,eltequilamexicanrestaurant.com,,722511,,Full-service Mexican restaurant,Verified,High,Analyst,1,2026-01-20 16:04:48,
ENGINEERS CLUB OF DAYTON,,engineersclub.org,,813920,,Professional organization,Verified,High,Analyst,1,2026-01-20 16:04:48,
ENGINEERS OF TOMORROW KY 2783,,kyeot.org,,611710,,Educational support (Robotics),Verified,High,Analyst,1,2026-01-20 16:04:48,
EPHANT HOSPITALITY HOLIDAY INN,,ihg.com,,721110,,Hotel management (Holiday Inn),Verified,High,Analyst,1,2026-01-20 16:04:48,
EPISCOPAL SCHOOL OF KNOXVILLE,,esknoxville.org,,611110,,Private K-12 school,Verified,High,Analyst,1,2026-01-20 16:04:48,
EQUITY,,equity.net,,531390,,Commercial real estate services,Verified,High,Analyst,1,2026-01-20 16:04:48,
ESPACES KNOXVILLE,,espaces.com,,531312,,Flexible office and coworking space,Verified,High,Analyst,1,2026-01-20 16:04:48,
EXCHANGE RIGHT NET LEASED PORTFOLIO 29 DST,,,,531120,,Commercial property investment (DST),Verified,High,Analyst,1,2026-01-20 16:04:48,
EXECUTIVE HOTEL MANAGEMENT DBA CROWNE PLAZA KNOXVILLE,,crowneknox.com,,721110,,Crowne Plaza hotel management,Verified,High,Analyst,1,2026-01-20 16:04:48,
EXETER 1415 COLLINS LP,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:04:48,
EXETER 55015599 WEST 74TH ST IN,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:04:48,
