Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
INFILTRATOR WATER TECHNOLOGIES,,infiltratorwater.com,,326122,,Plastics Pipe Manufacturing,Verified,,Analyst,1,2026-01-20 11:12:35,
IOFINA CHEMICAL,,iofina.com,,325199,,Chemical Manufacturing,Verified,,Analyst,1,2026-01-20 11:12:35,
IPS PACKAGING AND AUTOMATION,,ipack.com,,424130,,Industrial Packaging Wholesaler,Verified,,Analyst,1,2026-01-20 11:12:35,
IRMSCHER CONSTRUCTION,,,,236220,,General Contractor,Verified,,Analyst,1,2026-01-20 11:12:35,
JAMES CONSTRUCTION AND RENOVATION,,jcrgroup.com,,236118,,Residential Remodel,Verified,,Analyst,1,2026-01-20 11:12:35,
JOHANN PLUMBING,,,,238220,,Plumbing Contractor,Verified,,Analyst,1,2026-01-20 11:12:35,
JOHNSON ELECTRIC SUPPLY,,johnson-electric.com,,423610,,Electrical Apparatus Wholesaler,Verified,,Analyst,1,2026-01-20 11:12:35,
JR MANUFACTURING,,jrmfg.net,,336360,,Motor Vehicle Seating Mfg,Verified,,Analyst,1,2026-01-20 11:12:35,
JTF CONSTRUCTION,,jtfconstruction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:12:35,
KEN NEYER PLUMBING,,neyerplumbing.com,,238220,,Plumbing Contractor,Verified,,Analyst,1,2026-01-20 11:12:35,
KENWOOD SURGERY,,mercy.com,,621493,,Ambulatory Surgical Center,Verified,,Analyst,1,2026-01-20 11:12:35,
KINGS ELECTRIC SERVICES,,kingselectricservices.com,,238210,,Electrical Contractor,Verified,,Analyst,1,2026-01-20 11:12:35,
KOETTER CONSTRUCTION,,thekoettergroup.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:12:35,
LATONIA CHRISTIAN CHURCH,,latoniachristianchurch.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:12:35,
LAWRENCE COUNTY MUNICIPAL BUILDING,,villageofchesapeake.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:12:35,
LEBANON UTILITIES,,lebanon-utilities.com,,221122,,Electric Power Distribution,Verified,,Analyst,1,2026-01-20 11:12:35,
