Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
TRAVEL INN MOTEL,,,721110,721110,Motel,Motel,Verified,High,Analyst,3,2026-01-21 15:44:12,
ZIONSVILLE REALTY PARTNERS,,,531120,531120,Real Estate Partnership,Real Estate Partnership,Verified,High,Analyst,2,2026-01-21 15:44:12,
513 PROPERTY MANAGEMENT,,513apartments.com,531312,531312,Property Management,Property Management,Verified,High,Analyst,2,2026-01-21 15:44:12,
B AND B PROPERTIES,,bandbprop.com,531120,531120,Property Holding,Property Holding,Verified,High,Analyst,2,2026-01-21 15:44:12,
BAMBECK AND VEST,,bambeckandvest.com,236220,236220,General contractor and construction,General contractor and construction,Verified,Medium,Analyst,2,2026-01-21 15:44:12,
BEARDEN HILL OFFICE PARTNERS,,,531120,531120,Office Property Entity,Office Property Entity,Verified,High,Analyst,2,2026-01-21 15:44:12,
BIRTLEY INDUSTRIAL EQUIPMENT,,birtleyindustrial.com,811310,811310,Industrial equipment manufacturing and repair,Industrial equipment manufacturing and repair,Verified,Medium,Analyst,2,2026-01-21 15:44:12,
BOGHANI PROPERTIES,,,531120,531120,Real Estate Investment,Real Estate Investment,Verified,High,Analyst,2,2026-01-21 15:44:12,
BOURBON II LOGISTICS CENTER,,core5industrial.com,531120,531120,Industrial logistics center (Property),Industrial logistics center (Property),Verified,High,Analyst,2,2026-01-21 15:44:12,
BRAINTREE PROPERTIES,,braintreeproperties.com,531120,531120,Property Holding,Property Holding,Verified,High,Analyst,2,2026-01-21 15:44:12,
BROADWAY DEVELOPMENT 2001,,,531120,531120,Real Estate Development,Real Estate Development,Verified,High,Analyst,2,2026-01-21 15:44:12,
BUILDING 3800 REDBANK ROAD,,,531120,531120,Commercial property entity,Commercial property entity,Verified,High,Analyst,2,2026-01-21 15:44:12,
BULLITT II LOGISTICS CENTER,,core5industrial.com,531120,531120,Industrial logistics center (Property),Industrial logistics center (Property),Verified,High,Analyst,2,2026-01-21 15:44:12,
C BANKS PROPERTY MANAGEMENT,,,531312,531312,Property Management,Property Management,Verified,High,Analyst,2,2026-01-21 15:44:12,
C5 GATEWAY 3,,core5industrial.com,531120,531120,Industrial logistics center (Property),Industrial logistics center (Property),Verified,High,Analyst,2,2026-01-21 15:44:12,
CAC,,,,423730,,HVAC Equipment Wholesaler,Verified,High,Low,2,2026-01-21 15:44:12,
CAC DISTRIBUTION,,,,423730,,HVAC Equipment Wholesaler,Verified,High,Medium,2,2026-01-21 15:44:12,
CANNON AUTOMOTIVE SOLUTIONS,,clevelandcliffs.com,336370,336370,Automotive metal stamping and assembly,Automotive metal stamping and assembly,Verified,High,Analyst,2,2026-01-21 15:44:12,
CAPTAINS WATCH COA,,,813990,813990,Condominium owners association,Condominium owners association,Verified,High,Analyst,2,2026-01-21 15:44:12,
CAROTHERS CORNER,,,531120,531120,Commercial retail center (Property),Commercial retail center (Property),Verified,High,Analyst,2,2026-01-21 15:44:12,
CASHING THE BLUEGRASS,,,,522390,,Check Cashing Services,Verified,High,Low,2,2026-01-21 15:44:12,
