Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
BC TERMINALS,,cipknoxville.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
BDG PROPERTIES,,,,531120,,Property Holding,Verified,,Analyst,1,2026-01-19 15:20:03,
C AND L PROPERTIES,,,,531120,,Property Holding,Verified,,Analyst,1,2026-01-19 15:20:03,
CAPITAL COMMERCIAL REAL ESTATE,,capitalrealestate.com,,531210,,Commercial Real Estate Brokerage,Verified,,Analyst,1,2026-01-19 15:20:03,
CARESOURCE MANAGEMENT GROUP,,caresource.com,,524114,,Health Insurance,Verified,,Analyst,1,2026-01-19 15:20:03,
CARROLL COUNTY SCHOOL DISTRICT,,carroll.kyschools.us,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:20:03,
CFI PROPERTIES,,,,531120,,Property Holding,Verified,,Analyst,1,2026-01-19 15:20:03,
CGM CAPITAL HOLDINGS,,,,531120,,Real Estate Holding,Verified,,Analyst,1,2026-01-19 15:20:03,
CH FOREST PARK PARTNERS GP,,ppmknox.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
CHAVEZ PROPERTIES,,chavezproperties.com,,531120,,Parking & Real Estate Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
CHEVY CHASE PLAZA,,equity-management.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
CHRISTEL HOUSE ACADEMY,,chschools.org,,611110,,Charter School Network,Verified,,Analyst,1,2026-01-19 15:20:03,
CINFAB,,cinfab.com,,238220,,HVAC Fabrication,Verified,,Analyst,1,2026-01-19 15:20:03,
CLARK COUNTY SCHOOLS,,clarkschools.net,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:20:03,
COLLEGE OF BIBLICAL STUDIES,,cbshouston.edu,,611310,,Private College,Verified,,Analyst,1,2026-01-19 15:20:03,
COLLEGE OF MT ST JOSEPH,,msj.edu,,611310,,Private University,Verified,,Analyst,1,2026-01-19 15:20:03,
COLUMBUS CITY SCHOOLS,,ccsoh.us,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:20:03,
COMMERCIAL INVESTMENT PROPERTIES,,cipknoxville.com,,531312,,Commercial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:20:03,
COMMERCIAL AND INVESTMENT PROPERTIES,,cipknoxville.com,,531312,,Commercial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:20:03,
CORNERSTONE ACADEMY,,lcstn.org,,611110,,Private Christian School,Verified,,Analyst,1,2026-01-19 15:20:03,
CORPORATE SQUARE LP,,cipknoxville.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
CORPOREX DEVELOPEMEN AND CONSTMANAGEMENT,,corporex.com,,531312,,Commercial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:20:03,
CORPOREX DEVELOPMENT SERVICES,,corporex.com,,531312,,Commercial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:20:03,
CORPOREX MGMT AND LEASING,,corporex.com,,531312,,Commercial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:20:03,
CPIII GP,,cipknoxville.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
CREW HQ,,alopg.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
CS LEASING,,,,531120,,Real Estate Leasing,Verified,,Analyst,1,2026-01-19 15:20:03,
DAM HOLDINGS,,damholdings.managebuilding.com,,531311,,Residential Property Mgmt,Verified,,Analyst,1,2026-01-19 15:20:03,
