Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
TRANSPORT INTERNATIONAL POOL,,tip-group.com,,532412,,Truck Trailer Rental & Leasing,Verified,High,Analyst,1,2026-01-21 15:09:44,
TRAVEL INN MOTEL,,,,721110,,Motel,Verified,High,Analyst,1,2026-01-21 15:09:44,
TRI STATE MECHANICAL,,tristatemechanical.com,,238220,,Mechanical Contractor,Verified,High,Analyst,1,2026-01-21 15:09:44,
TRIM PARTS,,trimparts.com,,336360,,Motor Vehicle Interior Trim Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
TRIPLE CREEK RETIREMENT,,triplecreekretirement.com,,623312,,Assisted Living Facility,Verified,High,Analyst,1,2026-01-21 15:09:44,
TRIPLE HEARTS DBA TACK HOUSE PUB,,tackhousepub.com,,722511,,Full-Service Restaurant,Verified,High,Analyst,1,2026-01-21 15:09:44,
TSUDA USA,,tsudausa.com,,336390,,Motor Vehicle Parts Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
TUFF 2200 SUTHERLAND AVE,,tuff.org,,813211,,Educational Facility Financing,Verified,High,Analyst,1,2026-01-21 15:09:44,
US FOOD SERVICEKNOXVILLE,,usfoods.com,,424420,,Packaged Frozen Food Wholesaler,Verified,High,Analyst,1,2026-01-21 15:09:44,
US HAZMAT RENTALS,,ushazmatrentals.com,,562112,,Hazardous Waste Storage Rentals,Verified,High,Analyst,1,2026-01-21 15:09:44,
UBE AUTOMOTIVE NORTH AMERICA,,ube-america.com,,336390,,Motor Vehicle Parts Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
UK CENTER FOR APPLIED ENERGY RESEARCH,,caer.uky.edu,,541715,,Energy Research & Development,Verified,High,Analyst,1,2026-01-21 15:09:44,
UNION ODC BREP I,,,,,,,Deferred,,Analyst,1,2026-01-21 15:09:44,
UNION STATION,,kennmar.com,,531312,,Nonresidential Property Management,Verified,High,Analyst,1,2026-01-21 15:09:44,
UNITED STATES COLD STORAGE,,uscold.com,,493120,,Refrigerated Warehousing,Verified,High,Analyst,1,2026-01-21 15:09:44,
UNIVERISTY TOWER,,,,,,,Deferred,,Analyst,1,2026-01-21 15:09:44,
UPM PHARMACEUTICALS,,upm-inc.com,,325412,,Pharmaceutical Preparation Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
URBAN SITES,,urbansites.com,,531390,,Real Estate Development & Mgmt,Verified,High,Analyst,1,2026-01-21 15:09:44,
UST DBA LANDMARK CERAMICS,,landmarkceramics.com,,327110,,Ceramic Tile Manufacturing,Verified,High,Analyst,1,2026-01-21 15:09:44,
UTC AEROSPACE SYSTEMS,,collinsaerospace.com,,336413,,Aircraft Parts Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
VALASSIS DIRECT MAIL,,valassis.com,,541860,,Direct Mail Advertising,Verified,High,Analyst,1,2026-01-21 15:09:44,
VALEO CLIMATE CONTROL,,valeo.com,,336320,,Motor Vehicle Electrical Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
VALTRONICS,,valtronics.com,,334513,,Industrial Process Control Instruments,Verified,High,Analyst,1,2026-01-21 15:09:44,
VANDERBILT MAURY RADIATION ONCOLOGY,,vanderbilthealth.com,,621511,,Radiotherapy Services,Verified,High,Analyst,1,2026-01-21 15:09:44,
VENTRA PLASTICS RUSSELLVILLE A DIVISION OF FLEXNGATE,,flex-n-gate.com,,326199,,Motor Vehicle Parts Mfg,Verified,High,Analyst,1,2026-01-21 15:09:44,
VEREGY INDIANA,,veregy.com,,541330,,Energy Engineering Services,Verified,High,Analyst,1,2026-01-21 15:09:44,
VFP FIRE SYSTEMS,,vikingfireprotectiongroup.com,,238220,,Fire Sprinkler Installation,Verified,High,Analyst,1,2026-01-21 15:09:44,
VICTORIA THEATRE ASSOCIATION,,daytonlive.org,,711310,,Promoters of Performing Arts,Verified,High,Analyst,1,2026-01-21 15:09:44,
VICTORIAN SQUARE,,,,,,,Deferred,,Analyst,1,2026-01-21 15:09:44,
VIKING PLASTICS,,vikingplastics.com,,326199,,Plastics Product Manufacturing,Verified,High,Analyst,1,2026-01-21 15:09:44,
