Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
PEBBLE BROOK GOLF CLUB,,pebblebrookgolfclub.com,,713910,,Golf Course / Country Club,Verified,High,Analyst,1,2026-01-21 13:07:56,
PEOPLE WORKING COOPERATIVELY,,pwchomerepairs.org,,624220,,Non-Profit Housing Services,Verified,High,Analyst,1,2026-01-21 13:07:56,
PEPOS BURRITO BAR 2,,peposburritobarathens.com,,722513,,Restaurant (Burrito Bar),Verified,High,Analyst,1,2026-01-21 13:07:56,
PEPSIAMERICAS,,pepsico.com,,312111,,Beverage Manufacturing (PepsiCo),Verified,High,Analyst,1,2026-01-21 13:07:56,
PEPSICO,,pepsico.com,,312111,,Food & Beverage Manufacturing,Verified,High,Analyst,1,2026-01-21 13:07:56,
PEPSICO NASS ACCOUNTS PAYABLES,,pepsico.com,,312111,,Corporate Shared Services (PepsiCo),Verified,High,Analyst,1,2026-01-21 13:07:56,
PERFECTION PRINTING,,perfectionprintmedia.com,,323111,,Commercial Printing,Verified,High,Analyst,1,2026-01-21 13:07:56,
PERFECTSERVE,,perfectserve.com,,511210,,Healthcare Communications Software,Verified,High,Analyst,1,2026-01-21 13:07:56,
PERFETTI VANMELLE,,perfettivanmelleusa.us,,311340,,Confectionery Manufacturing,Verified,High,Analyst,1,2026-01-21 13:07:56,
PERFORMANCE CONTRACTING,,performancecontracting.com,,238310,,Specialty Contracting (PCI),Verified,High,Analyst,1,2026-01-21 13:07:56,
PERFORMANCE FOOD SERVICE,,rfsdelivers.com,,424400,,Food Service Distribution,Verified,High,Analyst,1,2026-01-21 13:07:56,
PERKINS PLACE II,,oliversmithrealty.com,,531120,,Commercial Office Complex,Verified,High,Analyst,1,2026-01-21 13:07:56,
PETERS ROAD PARTNERSHIP,,koellamoore.com,,531120,,Commercial Real Estate Holding,Verified,High,Analyst,1,2026-01-21 13:07:56,
PETLAND,,petlandflorenceky.com,,453910,,Pet Retail,Verified,High,Analyst,1,2026-01-21 13:07:56,
PFG CUSTOMIZED,,pfgc.com,,424410,,Food Distribution (PFG),Verified,High,Analyst,1,2026-01-21 13:07:56,
PGP HARRISON CROSSING OWNER,,ebcapitalpartners.com,,531390,,Real Estate Development,Verified,High,Analyst,1,2026-01-21 13:07:56,
PHILLIPS EDISON,,phillipsedison.com,,531190,,Retail REIT / Property Owner,Verified,High,Analyst,1,2026-01-21 13:07:56,
PHOENIX VERSAILLES INDUSTRIAL INVESTORS,,phoenixinvestors.com,,531120,,Industrial Real Estate Investment,Verified,High,Analyst,1,2026-01-21 13:07:56,
PILOT CONTRACTING,,pilotbuilds.com,,236220,,Commercial Construction,Verified,High,Analyst,1,2026-01-21 13:07:56,
PINNACLE TURKEY CREEK,,pinnacleatturkeycreek.com,,531120,,Shopping Center,Verified,High,Analyst,1,2026-01-21 13:07:56,
PIONEER AUTOMOTIVE TECHNOLOGIES,,global.pioneer,,336320,,Automotive Electronics Manufacturing,Verified,High,Analyst,1,2026-01-21 13:07:56,
PIRAMAL PHARMA SOLUTIONS,,piramalpharmasolutions.com,,325412,,Pharmaceutical CDMO,Verified,High,Analyst,1,2026-01-21 13:07:56,
PLUMB TECH SERVICES,,,,238220,,Plumbing Contractor,Verified,High,Analyst,1,2026-01-21 13:07:56,
PLUMBERS SUPPLY,,plumberssupplyco.com,,423720,,Plumbing Wholesale,Verified,High,Analyst,1,2026-01-21 13:07:56,
POLYMER SHAPES,,polymershapes.com,,424610,,Plastics Distribution,Verified,High,Analyst,1,2026-01-21 13:07:56,
POST GLOVER RESISTORS,,postglover.com,,334419,,Electronic Resistor Manufacturing,Verified,High,Analyst,1,2026-01-21 13:07:56,
POWERSCHOOL GROUP,,powerschool.com,,518210,,Education Software (EdTech),Verified,High,Analyst,1,2026-01-21 13:07:56,
PPA CASTLE CREEK I AND II LP,,castlepointapartments.com,,531110,,Residential Rental Property,Verified,High,Analyst,1,2026-01-21 13:07:56,
PRECEDENT LAKESIDE ACQUISITIONS,,strategiccapitalpartners.com,,531120,,Commercial Office Park Owner,Verified,High,Analyst,1,2026-01-21 13:07:56,
PRECISE TOOLING SOLUTIONS,,precisetooling.com,,332721,,Precision Tooling & Machining,Verified,High,Analyst,1,2026-01-21 13:07:56,
