Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
SCGVI WASHINGTON MARKET,,,,,,,Deferred,,Analyst,1,2026-01-21 14:26:41,
SCHENKER LOGISTICS SUITE A,,dbschenker.com,,488510,,Freight Transportation Arrangement,Verified,High,Analyst,1,2026-01-21 14:26:41,
SEAPINE SOFTWARE,,perforce.com,,511210,,Software Publishing (Successor: Perforce),Verified,High,Analyst,1,2026-01-21 14:26:41,
SEHLHORST EQUIPMENT SERVICES,,sehlhorst.com,,238910,,Site Preparation Contractor,Verified,High,Analyst,1,2026-01-21 14:26:41,
SENTINEL AMAZON I,,sentinelre.com,,531120,,Industrial Property Owner (Sentinel),Verified,High,Analyst,1,2026-01-21 14:26:41,
SESE INDUSTRIAL SERVICES US,,sese.com,,336390,,Automotive Parts Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SEVEN HILLS SCHOOL,,7hills.org,,611110,,Private K-12 School,Verified,High,Analyst,1,2026-01-21 14:26:41,
SHARONVILLE CHAMBER OF COMMERCE,,northcincychamber.com,,813910,,Trade Association,Verified,High,Analyst,1,2026-01-21 14:26:41,
SHAW INDUSTRIES GROUP,,shawinc.com,,314110,,Flooring Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SHELBYKY TOURISM COMMISSION AND VISITORS BUREAU,,visitshelbyky.com,,561591,,Convention & Visitors Bureau,Verified,High,Analyst,1,2026-01-21 14:26:41,
SHERWIN WILLIAMS,,sherwin-williams.com,,325510,,Paint & Coating Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SHOALS TECHNOLOGIES GROUP,,shoals.com,,334419,,Electronic Component Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SHOFFNER KALTHOFF MES,,csusashoffner.com,,238220,,Mechanical/HVAC Contractor,Verified,High,Analyst,1,2026-01-21 14:26:41,
SIBCY CLINE,,sibcycline.com,,531210,,Real Estate Brokerage,Verified,High,Analyst,1,2026-01-21 14:26:41,
SIEMENS MOBILITY,,mobility.siemens.com,,336510,,Rail Equipment Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SIGS SPORTSPLEX,,sigsgym.com,,611620,,Sports Instruction,Verified,High,Analyst,1,2026-01-21 14:26:41,
SIKA AUTOMOTIVE KENTUCKY,,sika.com,,325998,,Automotive Chemical Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SIMPLE GRILL,,thesimplegrill.com,,722511,,Full-Service Restaurant,Verified,High,Analyst,1,2026-01-21 14:26:41,
SIMS METAL,,simsmaterials.com,,331314,,Secondary Aluminum Smelting,Verified,High,Analyst,1,2026-01-21 14:26:41,
SKEENS WAREHOUSE SERVICES,,skeens.co,,811310,,Industrial Equipment Repair,Verified,High,Analyst,1,2026-01-21 14:26:41,
SKILLED TRADES,,skilledtrades.com,,561320,,Temporary Staffing Services,Verified,High,Analyst,1,2026-01-21 14:26:41,
SKYLINE CHILI,,skylinechili.com,,722513,,Limited-Service Restaurant,Verified,High,Analyst,1,2026-01-21 14:26:41,
SLAMDOT,,slamdot.com,,541810,,Digital Advertising Agency,Verified,High,Analyst,1,2026-01-21 14:26:41,
SLEEP OUTFITTERS OUTLET,,sleepoutfitters.com,,442110,,Furniture/Mattress Retail,Verified,High,Analyst,1,2026-01-21 14:26:41,
SLICE OF STAINLESS,,sliceofstainless.com,,423510,,Metal Service Center,Verified,High,Analyst,1,2026-01-21 14:26:41,
SMART TECHNOLOGIES ULC,,smarttech.com,,334111,,Electronic Display Manufacturing,Verified,High,Analyst,1,2026-01-21 14:26:41,
SMC OF AMERICA,,smcusa.com,,335314,,Industrial Automation Components,Verified,High,Analyst,1,2026-01-21 14:26:41,
SMURFITSTONE,,westrock.com,,322211,,Packaging Manufacturing (Successor: WestRock),Verified,High,Analyst,1,2026-01-21 14:26:41,
SOARING EAGLE LODGE MASTER ASSOCIATION,,snowshoemtn.com,,721110,,Hotel / Resort (Soaring Eagle Lodge),Verified,High,Analyst,1,2026-01-21 14:26:41,
SOHO HOUSE NASHVILLE,,sohohouse.com,,721110,,Private Member Club / Hotel,Verified,High,Analyst,1,2026-01-21 14:26:41,
