Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
WASHINGTON COUNTY COURTHOUSE,,washingtoncounty.in.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
WATTS WATER US,,watts.com,,332911,,Valves and Pipe Fittings Mfg,Verified,,Analyst,1,2026-01-20 11:54:08,
WAYNE COUNTY GOVERNMENT,,waynecountytn.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
WE ONEIL CONSTRUCTION,,weoneil.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:54:08,
WEBSTER WEST PACKAGING,,akers-pkg.com,,322211,,Corrugated Container Mfg,Verified,,Analyst,1,2026-01-20 11:54:08,
WESBANCO BANK,,wesbanco.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 11:54:08,
WESLEY FOUNDATION,,utkwesleyfoundation.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:54:08,
WEST CHESTER TOWNSHIP,,westchesteroh.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
WEST CHESTER VETERINARY CARE,,westchesterveterinarycare.com,,541940,,Veterinary Services,Verified,,Analyst,1,2026-01-20 11:54:08,
WEST TOWNE CHRISTIAN CHURCH,,followjesus.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:54:08,
WESTERN AND SOUTHERN LIFE INSURANCE,,westernsouthern.com,,524113,,Life Insurance Carrier,Verified,,Analyst,1,2026-01-20 11:54:08,
WESTFIELD LIBRARY,,wwpl.lib.in.us,,519120,,Public Library,Verified,,Analyst,1,2026-01-20 11:54:08,
WESTFIELD WASHINGTON PUBLIC LIBRARY AND TOWNSHIP,,wwpl.lib.in.us,,519120,,Public Library,Verified,,Analyst,1,2026-01-20 11:54:08,
WHITESPUNNER CONSTRUCTION,,white-spunner.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:54:08,
WOODMONT CHRISTIAN CHURCH,,woodmontchristian.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:54:08,
WORLD OUTREACH CHURCH,,wochurch.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:54:08,
WS CONSTRUCTION,,gray.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:54:08,
FRESENIUS MEDICAL CARE,,freseniusmedicalcare.com,,621492,,Dialysis Center,Verified,,Analyst,1,2026-01-20 11:54:08,
FIRST FEDERAL BANK,,ffbtn.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 11:54:08,
FLAGSHIP HEALTHCARE PROPERTIES,,flagshiphp.com,,531120,,Healthcare Real Estate,Verified,,Analyst,1,2026-01-20 11:54:08,
BRIGHTVIEW HEALTH,,brightviewhealth.com,,623220,,Substance Abuse Treatment,Verified,,Analyst,1,2026-01-20 11:54:08,
LAWRENCE COUNTY OH,,lawrencecounty.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
BOURBON COUNTY FISCAL COURT,,bourbonky.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
JESSAMINE COUNTY FISCAL COURT,,jessamineky.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
PNC BANK,,pnc.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 11:54:08,
SUN CHEMICAL,,sunchemical.com,,325130,,Ink and Pigment Manufacturing,Verified,,Analyst,1,2026-01-20 11:54:08,
TRILOGY HEALTH SERVICES,,trilogyhs.com,,623312,,Assisted Living Facility,Verified,,Analyst,1,2026-01-20 11:54:08,
WOODFORD COUNTY FISCAL COURT,,woodfordcountyky.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:54:08,
DELTA HOTELS ASHLAND DOWNTOWN,,marriott.com,,721110,,Hotel,Verified,,Analyst,1,2026-01-20 11:54:08,
EMBASSY SUITES CHARLESTON,,hilton.com,,721110,,Hotel,Verified,,Analyst,1,2026-01-20 11:54:08,
16 POINT SOLUTION,,,,,,,Deferred,,Analyst,1,2026-01-20 11:54:08,
93 PALLADIUM WAY PROPERTY,,,,,,,Deferred,,Analyst,1,2026-01-20 11:54:08,
ACCUMET SPECIALTY METALS,,accumet.net,,331221,,Cold-Rolled Steel Manufacturing,Verified,,Analyst,1,2026-01-20 11:54:08,
ADKEV,,adkev.com,,326199,,Plastics Product Mfg,Verified,,Analyst,1,2026-01-20 11:54:08,
