Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
BULLITT COUNTY,,bullittky.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CHANGE HEALTHCARE,,changehealthcare.com,,621111,,Healthcare Technology,Verified,,Analyst,1,2026-01-20 10:04:30,
CHASE BANK,,chase.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 10:04:30,
CHOICE HEALTH NETWORK,,choicehealthnetwork.org,,624190,,Social Advocacy Organization,Verified,,Analyst,1,2026-01-20 10:04:30,
CHRIST EMMANUEL CHRISTIAN FELLOWSHIP,,thechristemmanuel.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 10:04:30,
CHRISTIAN ACADEMY OF LAWRENCEBURG,,christianacademylawrenceburgky.org,,611110,,Private School,Verified,,Analyst,1,2026-01-20 10:04:30,
CHRISTIAN LIFE CHURCH,,clctn.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 10:04:30,
CHURCH OF THE CITY,,cotc.com,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 10:04:30,
CHURCH OF THE NATIVITY OF OUR LORD,,nativity-cincinnati.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 10:04:30,
CHURCH OF THE REDEEMER,,redeemer-nashville.net,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 10:04:30,
CHURCH OF THE RESURRECTION,,,,,,,Deferred,,Analyst,1,2026-01-20 10:04:30,
CINCINNATI CONSTRUCTION MGT,,cincinnaticm.com,,236220,,Construction Management,Verified,,Analyst,1,2026-01-20 10:04:30,
CINCINNATI INSURANCE THE,,cinfin.com,,524126,,Insurance Carrier,Verified,,Analyst,1,2026-01-20 10:04:30,
CINTECH CONSTRUCTION,,cintechconstruction.com,,236220,,General Contractor,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF ATHENS,,ci.athens.oh.us,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF CHEVIOT,,cheviot.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF CHEVIOT HOME LODGE,,,,,,,Deferred,,Analyst,1,2026-01-20 10:04:30,
CITY OF CLIFTON,,cityofclifton.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF COLUMBIA CITY INDIANA,,columbiacity.net,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF FORT MITCHELL,,fortmitchell.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF FRANKLIN PLANNING AND ENGINEERING,,,,,,,Deferred,,Analyst,1,2026-01-20 10:04:30,
CITY OF GLASGOW KY,,cityofglasgow.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF JEFFERSONVILLE,,cityofjeff.net,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF JEFFERSONVILLE FIRE DEPARTMENT,,,,,,,Deferred,,Analyst,1,2026-01-20 10:04:30,
CITY OF LOGAN,,cityofloganohio.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF LOUISA KENTUCKY,,cityoflouisaky.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF MIDDLETOWN,,cityofmiddletown.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF PARIS,,paris.ky.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF SHARONVILLE,,sharonville.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF SHELBYVILLE,,shelbyvillein.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF WESTFIELD,,westfieldin.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF WESTFIELD GRAND PARK SPORTS CAMPUS,,grandpark.org,,713990,,Sports Complex,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF WINCHESTER,,winchesterky.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:04:30,
CITY OF WINCHESTER CITY HALL,,,,,,,Deferred,,Analyst,1,2026-01-20 10:04:30,
