Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
NORHTPOINT DEVELOPMENT,,beyondthecontract.com,,531312,,Commercial Real Estate Development,Verified,High,Analyst,1,2026-01-21 12:45:16,
NASHVILLE OFFICE 1,,foundrycommercial.com,,531312,,Commercial Real Estate,Verified,High,Analyst,1,2026-01-21 12:45:16,
NASHVILLE SHEET METAL,,nashvillesheetmetal.com,,238160,,Roofing & Sheet Metal,Verified,High,Analyst,1,2026-01-21 12:45:16,
NATIONAL CITY EQUIPMENT FINANCE,,pnc.com,,522220,,Commercial Banking / Equipment Finance,Verified,High,Analyst,1,2026-01-21 12:45:16,
NATIONAL INDOOR RV CENTER,,nirvc.com,,441210,,RV Sales & Service,Verified,High,Analyst,1,2026-01-21 12:45:16,
NDH REIT OP LP,,nationaldentalreit.com,,531312,,Healthcare Real Estate (Dental),Verified,High,Analyst,1,2026-01-21 12:45:16,
NEOGEN,,neogen.com,,325413,,In-Vitro Diagnostic Manufacturing,Verified,High,Analyst,1,2026-01-21 12:45:16,
NEPTUNE EYE,,neptuneeyecompany.com,,621320,,Optometry Practice,Verified,High,Analyst,1,2026-01-21 12:45:16,
NEW HOPE OF INDIANA,,newhopeofindiana.org,,624120,,Social Services (Non-Profit),Verified,High,Analyst,1,2026-01-21 12:45:16,
NEWPAGE,,billerud.com,,322121,,Paper Manufacturing,Verified,High,Analyst,1,2026-01-21 12:45:16,
NEXT GENERATION CHILDCARE,,mynextgenerationchildcare.com,,624410,,Childcare Center,Verified,High,Analyst,1,2026-01-21 12:45:16,
NIAGARA BOTTLING,,niagarawater.com,,312112,,Beverage Manufacturing,Verified,High,Analyst,1,2026-01-21 12:45:16,
NORTH AMERICAN STAINLESS,,northamericanstainless.com,,331110,,Steel Manufacturing,Verified,High,Analyst,1,2026-01-21 12:45:16,
NORTHERN KY ORTHOPAEDICS,,,,,,,Deferred,,Analyst,1,2026-01-21 12:45:16,
NORTHERN KENTUCKY ASSOCIATION OF REALTORS,,nkar.com,,813910,,Trade Association (Realtors),Verified,High,Analyst,1,2026-01-21 12:45:16,
NORTHERN KENTUCKY EYECARE,,nkyeyecare.com,,621320,,Optometry Practice,Verified,High,Analyst,1,2026-01-21 12:45:16,
NORTHROP GRUMMAN,,northropgrumman.com,,336411,,Aerospace & Defense,Verified,High,Analyst,1,2026-01-21 12:45:16,
NORTHROPGRUMMANXETRON,,northropgrumman.com,,334511,,Defense Electronics (Xetron),Verified,High,Analyst,1,2026-01-21 12:45:16,
NP DAYON BUILDING VIII,,beyondthecontract.com,,531312,,Commercial Real Estate (Industrial),Verified,High,Analyst,1,2026-01-21 12:45:16,
NP DWBA,,beyondthecontract.com,,531312,,Commercial Real Estate (Industrial),Verified,High,Analyst,1,2026-01-21 12:45:16,
NP FTC LLL,,beyondthecontract.com,,531312,,Commercial Real Estate (Industrial),Verified,High,Analyst,1,2026-01-21 12:45:16,
ONEC1TY,,onec1tynashville.com,,531120,,Mixed-Use Development,Verified,High,Analyst,1,2026-01-21 12:45:16,
OAK HILL SCHOOL,,oakhillschool.org,,611110,,Private Elementary School,Verified,High,Analyst,1,2026-01-21 12:45:16,
OAK RIDGE LOCKSMITH,,oakridgelocksmith.com,,561622,,Locksmith Services,Verified,High,Analyst,1,2026-01-21 12:45:16,
OAK RIDGE NATIONAL LABORATORY,,ornl.gov,,541715,,Federal Research Laboratory,Verified,High,Analyst,1,2026-01-21 12:45:16,
OBARA,,obarausa.com,,333992,,Welding Equipment Manufacturing,Verified,High,Analyst,1,2026-01-21 12:45:16,
ODW LOGISTICS,,odwlogistics.com,,493110,,Logistics & Warehousing (3PL),Verified,High,Analyst,1,2026-01-21 12:45:16,
OFFICE FURNITURE SOURCE,,officefurnituresource.com,,423210,,Office Furniture Distributor,Verified,High,Analyst,1,2026-01-21 12:45:16,
OGARA HESS AND EISENHARGT ARMORING,,ogara-hess.com,,336992,,Armored Vehicle Manufacturing,Verified,High,Analyst,1,2026-01-21 12:45:16,
OHIO VALLEY EDUCATIONAL COOPERATIVE,,ovec.org,,611710,,Educational Cooperative,Verified,High,Analyst,1,2026-01-21 12:45:16,
