Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
J AND J MANAGEMENT,,jjmanagement.net,,531311,,Property Management,Verified,,Analyst,1,2026-01-19 15:35:49,
JA DOEPKER ASSOCIATES,,jadoepkerassociates.com,,541611,,Management Consulting,Verified,,Analyst,1,2026-01-19 15:35:49,
JACKSON COUNTY BOARD OF EDUCATION,,jackson.k12.wv.us,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:35:49,
JESSIES LANDING CONDOMINIUM,,towneproperties.com,,531311,,Condo Association Mgmt,Verified,,Analyst,1,2026-01-19 15:35:49,
KHDAR,,neyermanagement.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:35:49,
KIMCO REALTY,,kimcorealty.com,,531120,,Retail REIT,Verified,,Analyst,1,2026-01-19 15:35:49,
LA QUINTA MANAGEMENT LLC,,wyndhamhotels.com,,721110,,Hotel Management,Verified,,Analyst,1,2026-01-19 15:35:49,
LAKESIDE CENTRE REALTY PARTNERS,,,,531120,,Real Estate Partnership,Verified,,Analyst,1,2026-01-19 15:35:49,
LEASING GROUP,,,,531120,,Real Estate Leasing,Verified,,Analyst,1,2026-01-19 15:35:49,
LEXINGTON GREEN PARTNERS,,lexingtongreen.com,,531120,,Retail Center,Verified,,Analyst,1,2026-01-19 15:35:49,
LEXINGTON PROFESSIONAL MANAGEMENT LLCL,,,,531311,,Property Management,Verified,,Analyst,1,2026-01-19 15:35:49,
LOUISVILLE SEMINARY,,lpts.edu,,611310,,Theological Seminary,Verified,,Analyst,1,2026-01-19 15:35:49,
LOUISVILLE TOWER PROPERTIES,,,,531120,,Real Estate Holding,Verified,,Analyst,1,2026-01-19 15:35:49,
MT HOLDINGS,,nainashville.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:35:49,
MADISON ACADEMY,,madisonacademy.com,,611110,,Private School,Verified,,Analyst,1,2026-01-19 15:35:49,
MADISON COUNTY BOARD OF EDUCATION,,madison.k12.ky.us,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:35:49,
MADISON ST APARTMENTS,,,,531110,,Residential Rental Property,Verified,,Analyst,1,2026-01-19 15:35:49,
MARYVILLE COLLEGE FACILITIES DEPT,,maryvillecollege.edu,,611310,,Private College,Verified,,Analyst,1,2026-01-19 15:35:49,
MATANDY REALTY,,matandysteel.com,,531120,,Industrial Property Holding,Verified,,Analyst,1,2026-01-19 15:35:49,
MATILDA DEVELOPMENT,,,,531120,,Real Estate Development,Verified,,Analyst,1,2026-01-19 15:35:49,
MAYWEST,,,,531120,,Investment Partnership,Verified,,Analyst,1,2026-01-19 15:35:49,
MEDICOUNT MANAGEMENT,,medicount.com,,561440,,Medical Billing Services,Verified,,Analyst,1,2026-01-19 15:35:49,
MERCER COUNTY BOARD OF EDUCATION,,mercer.k12.wv.us,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:35:49,
