Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
THOTH,,,,,,,Deferred,,Analyst,1,2026-01-20 12:41:21,
UNIT BUILDING SERVICES,,,,,,,Deferred,,Analyst,1,2026-01-20 12:41:21,
UNITED GROUP SERVICES,,unitedgroupservices.com,,238220,,Mechanical Contractor,Verified,,Analyst,1,2026-01-20 12:41:21,
UNITED SERVICES,,unitedservicesinc.com,,238210,,Electrical Contractor,Verified,,Analyst,1,2026-01-20 12:41:21,
UNLIMITED SYSTEMS,,unlimitedsystems.com,,511210,,Health IT Software,Verified,,Analyst,1,2026-01-20 12:41:21,
USCC SERVICES,,uscellular.com,,517312,,Wireless Telecommunications,Verified,,Analyst,1,2026-01-20 12:41:21,
VALIDATED CUSTOM SOLUTIONS,,,,,,,Deferred,,Analyst,1,2026-01-20 12:41:21,
VALS BOTIQUE,,shopvalsboutique.com,,448120,,Womens Clothing Boutique,Verified,,Analyst,1,2026-01-20 12:41:21,
VANDALIA RENTAL,,vandaliarental.com,,532412,,Construction Equipment Rental,Verified,,Analyst,1,2026-01-20 12:41:21,
VRC,,vitalrecordscontrol.com,,493190,,Records Storage and Management,Verified,,Analyst,1,2026-01-20 12:41:21,
WV GREAT BARREL,,wvgbc.com,,321920,,Wood Container Manufacturing,Verified,,Analyst,1,2026-01-20 12:41:21,
WALKER,,thewalkercompany.com,,237310,,Highway and Street Construction,Verified,,Analyst,1,2026-01-20 12:41:21,
WILLOWS AT SPRINGHURT,,trilogyhs.com,,623312,,Assisted Living Facility,Verified,,Analyst,1,2026-01-20 12:41:21,
WISCHMEIER TRANSPORTATION SOLUTIONS,,wischmeiertrucking.com,,484110,,General Freight Trucking,Verified,,Analyst,1,2026-01-20 12:41:21,
WISHING U WELL,,,,,,,Deferred,,Analyst,1,2026-01-20 12:41:21,
YSK,,yanagawa-seiki.co.jp,,336390,,Motor Vehicle Parts Mfg,Verified,,Analyst,1,2026-01-20 12:41:21,
NEWLY WEDS FOODS,,newlywedsfoods.com,,311999,,Food Manufacturing,Verified,,Analyst,1,2026-01-20 12:41:21,
INGERSOLL-RAND,irco.com,irco.com,333912,333912,Industrial Machinery Mfg,Industrial Machinery Mfg,Verified,,Analyst,1,2026-01-20 12:41:21,
JM SMUCKER,jmsmucker.com,jmsmucker.com,311999,311999,Food Manufacturing,Food Manufacturing,Verified,,Analyst,1,2026-01-20 12:41:21,
TUFF TORQ,tufftorq.com,tufftorq.com,333612,333612,Power Transmission Mfg,Power Transmission Mfg,Verified,,Analyst,1,2026-01-20 12:41:21,
AL NEYER,,alneyer.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 12:41:21,
CLARKE AMERICANMIRC EXPRESS,,,,,,,Deferred,,Analyst,1,2026-01-20 12:41:21,
DCM PRODUCTS,,dcmproducts.com,,326199,,Plastic Product Manufacturing,Verified,,Analyst,1,2026-01-20 12:41:21,
EQUIVIS NORA,,equivis.com,,531120,,Industrial Real Estate,Verified,,Analyst,1,2026-01-20 12:41:21,
EXCEL CLIPS,,excelclips.com,,332722,,"Bolt, Nut, and Screw Mfg",Verified,,Analyst,1,2026-01-20 12:41:21,
FAST OF NORTHWEST OHIO,,fastnwo.org,,624310,,Vocational Rehabilitation,Verified,,Analyst,1,2026-01-20 12:41:21,
FLUID HANDLING TECHNOLOGY,,fluidhandlingtechnology.com,,333914,,Pump and Pumping Equipment Mfg,Verified,,Analyst,1,2026-01-20 12:41:21,
