Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
COUCHS RV NATION,,rvnation.com,,441210,,Recreational vehicle dealer,Verified,High,Analyst,1,2026-01-20 15:54:05,
COUNTRYSIDE YMCA,,countrysideymca.org,,813410,,YMCA nonprofit organization,Verified,High,Analyst,1,2026-01-20 15:54:05,
COURTESY ACURA,,courtesyacura.com,,441110,,New car dealership,Verified,High,Analyst,1,2026-01-20 15:54:05,
COURTS FOR SPORTS,,courts4sports.com,,713990,,Indoor sports facility,Verified,High,Analyst,1,2026-01-20 15:54:05,
COVEDALE THEATER,,cincinnatilandmarkproductions.com,,711110,,Performing arts venue,Verified,High,Analyst,1,2026-01-20 15:54:05,
COVINGTON AIR SYSTEMS,,covingtonair.com,,238220,,HVAC/mechanical contractor,Verified,High,Analyst,1,2026-01-20 15:54:05,
CP VI LLV,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 15:54:05,
CREATIVE IMAGES INSTITUTE OF COSMETOLOGY,,creativeimages.edu,,611511,,Cosmetology and barber school,Verified,High,Analyst,1,2026-01-20 15:54:05,
CREATIVE LIQUID COATINGS,,creativeliquidcoatings.com,,336390,,Automotive component coating,Verified,High,Analyst,1,2026-01-20 15:54:05,
CREATIVE STRUCTURES,,creativestructuresinc.com,,236220,,Commercial general contractor,Verified,High,Analyst,1,2026-01-20 15:54:05,
CRESCENT BUILDING GROUP,,,,236220,,Construction/Building group,Deferred,Medium,Analyst,1,2026-01-20 15:54:05,
CROSS KEYS CONDO ASSOCIATION,,,,813990,,Condominium owners association,Verified,High,Analyst,1,2026-01-20 15:54:05,
CROSSROADS ORTHOPEDICS ARTHREX,,arthrex-indianapolis.com,,423450,,Medical equipment distribution,Verified,High,Analyst,1,2026-01-20 15:54:05,
CROWN LIFT TRUCKS,,crown.com,,333924,,Material handling equipment mfg,Verified,High,Analyst,1,2026-01-20 15:54:05,
CTA ACOUSTICS,,ctaacoustics.com,,327993,,Mineral wool/acoustical insulation mfg,Verified,High,Analyst,1,2026-01-20 15:54:05,
CTDI,,ctdi.com,,811213,,Communication equipment repair,Verified,High,Analyst,1,2026-01-20 15:54:05,
CUSTOM MED APOTHECARY,,custommed.net,,456110,,Pharmacy and compounding services,Verified,High,Analyst,1,2026-01-20 15:54:05,
CYCLEBAR,,cyclebar.com,,713940,,Indoor cycling fitness studio,Verified,High,Analyst,1,2026-01-20 15:54:05,
DTWPH2,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 15:54:05,
DALEVILLE COMMUNITY SCHOOLS,,daleville.k12.in.us,,611110,,Public school district,Verified,High,Analyst,1,2026-01-20 15:54:05,
DAN BEARD COUNCIL BSOA,,danbeard.org,,813410,,Youth scouting organization,Verified,High,Analyst,1,2026-01-20 15:54:05,
DAVIS DISTRIBUTION SYSTEMS,,davisdistribution.com,,423620,,Consumer electronics distribution,Verified,High,Analyst,1,2026-01-20 15:54:05,
DEARRINGER BUILDINGS,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 15:54:05,
DELUXE Nails BILLING,,deluxenailsaloncincinnati.com,,812113,,Nail salon and spa services,Verified,High,Analyst,1,2026-01-20 15:54:05,
DENT CROSSING,,mercy.com,,621111,,Medical office facility (Mercy Health),Verified,High,Analyst,1,2026-01-20 15:54:05,
DENTAL PARTNERS SOUTH KNOXVILLE,,knoxvilledentalpartners.com,,621210,,Dental practice,Verified,High,Analyst,1,2026-01-20 15:54:05,
DEPARTMENT OF PUBLIC WORKS,,lebanon.in.gov,,921190,,Municipal public works department,Verified,High,Analyst,1,2026-01-20 15:54:05,
DEPARTMENT OF VETERANS SERVICES,,browncountyohio.gov,,923140,,Government veterans affairs services,Verified,High,Analyst,1,2026-01-20 15:54:05,
DERMATOLOGY ASSOC OF KY PSC,,dermatologyassociates.com,,621111,,Dermatology medical practice,Verified,High,Analyst,1,2026-01-20 15:54:05,
DICKEYS BARBECUE PIT,,dickeys.com,,722513,,Barbecue restaurant chain,Verified,High,Analyst,1,2026-01-20 15:54:05,
