Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
SCHUELER GROUP CONSTRUCTION,,schuelergroup.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:47:20,
SCHUMACHER DUGAN CONSTRUCTION,,schumacher-dugan.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:47:20,
SEQUOJAH HILLS PRESBYTERIAN CHURCH,,sequoyahchurch.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
SHAUB CONSTRUCTION,,shaubconstruction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:47:20,
SHAW PLANT IJ,,shawinc.com,,314110,,Carpet Manufacturing,Verified,,Analyst,1,2026-01-20 11:47:20,
SIMPLY POWER YOGA,,simplypoweryoga.com,,713940,,Yoga Studio,Verified,,Analyst,1,2026-01-20 11:47:20,
SOUTHERN BANK OF TENNESSEE,,southernbankoftn.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 11:47:20,
SOUTHERN TN REGIONAL HEALTH SYSTEM,,highpointhealthsystem.com,,622110,,General Hospital,Verified,,Analyst,1,2026-01-20 11:47:20,
SPRING HILL SURGERY CENTER,,springhillsurgery.com,,621493,,Ambulatory Surgical Center,Verified,,Analyst,1,2026-01-20 11:47:20,
SSB MANUFACTURING,,,,,,,Deferred,,Analyst,1,2026-01-20 11:47:20,
ST BARTHOLOMEWS CHURCH,,stbs.net,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST DOMINICS CATHOLIC CHURCH,,saintdominickpt.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST ELIZABETH HEALTHCARE,,stelizabeth.com,,622110,,General Hospital,Verified,,Analyst,1,2026-01-20 11:47:20,
ST HENRY PARISH,,stjohnpaulii.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST JAMES THE GREATER PARISH,,stjameswhiteoak.com,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST LUKE CATHOLIC CHURCH,,stlukenicholasville.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST MARYS PARISH,,stmarysoakridge.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST MICHAEL GREEK ORTHODOX CHURCH,,,,,,,Deferred,,Analyst,1,2026-01-20 11:47:20,
ST RITA CATHOLIC CHURCH,,stgasparfamily.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
ST VINCENT FERRER CHURCH,,svfchurch.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
STEEL SUMMIT TENNESSEE,,steelsummit.com,,331221,,Cold-Rolled Steel Manufacturing,Verified,,Analyst,1,2026-01-20 11:47:20,
STS PACKAGING,,stspkg.com,,322211,,Corrugated Container Mfg,Verified,,Analyst,1,2026-01-20 11:47:20,
STS PETER AND PAUL REGIONAL CATHOLIC SCHOOL,,sppslex.org,,611110,,Private School,Verified,,Analyst,1,2026-01-20 11:47:20,
STURM ELECTRIC,,sturmelectric.com,,238210,,Electrical Contractor,Verified,,Analyst,1,2026-01-20 11:47:20,
SULLIVAN COUNTY SHERIFFS OFFICE,,sullivancountytn.gov,,922120,,Police Protection,Verified,,Analyst,1,2026-01-20 11:47:20,
SUMMIT EXPRESS CLINIC BEARDEN HILL,,,,,,,Deferred,,Analyst,1,2026-01-20 11:47:20,
SUMMIT MEDICAL GROUP,,summitmedical.com,,621111,,Physician Office,Verified,,Analyst,1,2026-01-20 11:47:20,
SUMMIT PACKAGING SOLUTIONS,,summitcontainer.com,,322211,,Corrugated Container Mfg,Verified,,Analyst,1,2026-01-20 11:47:20,
TN MEDICAL PROPERTIES,,morgancountymedical.com,,621491,,Community Health Center,Verified,,Analyst,1,2026-01-20 11:47:20,
TABERNACLE PRESBYTERIAN CHURCH,,tabpres.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:47:20,
TAYLOR REGIONAL HOSPITAL,,trhosp.org,,622110,,General Hospital,Verified,,Analyst,1,2026-01-20 11:47:20,
TENNANT PACKAGING,,tennantpack.com,,322211,,Corrugated Container Mfg,Verified,,Analyst,1,2026-01-20 11:47:20,
TENNESSEE MEDICAL PARTNERS,,,,,,,Deferred,,Analyst,1,2026-01-20 11:47:20,
TERREX DEVELOPMENT AND CONSTRUCTION,,terrexllc.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:47:20,
