Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
KIMBALL ELECTRONICS,,kimballelectronics.com,,334419,,Electronics manufacturing services,Verified,High,Analyst,1,2026-01-20 16:31:50,
KINGS LOCAL SCHOOLS,,kingslocal.net,,611110,,Public school district,Verified,High,Analyst,1,2026-01-20 16:31:50,
KINNECTION CHIROPRACTIC,,kinnectionchiro.com,,621310,,Chiropractic clinic,Verified,High,Analyst,1,2026-01-20 16:31:50,
KLH ENGINEERS,,klhengrs.com,,541330,,MEP engineering services,Verified,High,Analyst,1,2026-01-20 16:31:50,
KNAUF INSULATION,,knaufinsulation.us,,327993,,Glass wool insulation mfg,Verified,High,Analyst,1,2026-01-20 16:31:50,
KNOXVILLE DENTAL CARE,,knoxvilledentalcare.com,,621210,,Dental practice,Verified,High,Analyst,1,2026-01-20 16:31:50,
KNOXVILLE EYE CARE ASSOCIATES,,eyecareoptical-knoxville.com,,621320,,Optometry and optical services,Verified,High,Analyst,1,2026-01-20 16:31:50,
KNOXVILLE PROPERTIES PARTNERSHIPAPP,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:31:50,
KNOXVILLE TVA EMPLOYEES CREDIT UNION,,tvacreditunion.com,,522130,,Credit union services,Verified,High,Analyst,1,2026-01-20 16:31:50,
KOBE ALUMINUM AUTOMOTIVE PRODUCTS,,kobeal.com,,332112,,Aluminum forging for automotive,Verified,High,Analyst,1,2026-01-20 16:31:50,
KOBELCO ALUMINUM,,kobelco-ky.com,,331318,,Aluminum rolling and extruding,Verified,High,Analyst,1,2026-01-20 16:31:50,
KOCH FOODS,,kochfoods.com,,311615,,Poultry processing,Verified,High,Analyst,1,2026-01-20 16:31:50,
KODIAK CONSTRUCTORS,,kodiakconstructors.com,,236220,,Commercial general contractor,Verified,High,Analyst,1,2026-01-20 16:31:50,
KOHRS LONNEMANN HEIL ENGINEERS,,klhengrs.com,,541330,,MEP engineering services,Verified,High,Analyst,1,2026-01-20 16:31:50,
KPA NIGHTINGALE LANE,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:31:50,
KROGER,,kroger.com,,445110,,Grocery retail chain,Verified,High,Analyst,1,2026-01-20 16:31:50,
KT DESIGN GROUP,,ktdesigngroup.com,,541410,,Interior design services,Verified,High,Analyst,1,2026-01-20 16:31:50,
L3 FUZING AND ORDNANCE SYSTEMS,,l3harris.com,,332993,,Defense ammunition manufacturing,Verified,High,Analyst,1,2026-01-20 16:31:50,
L3 HARRIS TECHNOLOGIES,,l3harris.com,,334511,,Aerospace and defense technology,Verified,High,Analyst,1,2026-01-20 16:31:50,
LA COMEDIA ENTERPRISES,,lacomedia.com,,711110,,Dinner theater venue,Verified,High,Analyst,1,2026-01-20 16:31:50,
LABOR WORKS,,laborworks.com,,561320,,Industrial staffing services,Verified,High,Analyst,1,2026-01-20 16:31:50,
LAME INVESTMENTS,,,,531390,,Real estate investment entity,Deferred,Low,Analyst,1,2026-01-20 16:31:50,
LANCE CUNNINGHAM FORD,,lancecunninghamford.com,,441110,,New car dealership,Verified,High,Analyst,1,2026-01-20 16:31:50,
LAND OAK 2,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:31:50,
LAND ROVER OF KNOXVILLE,,landroverknoxville.com,,441110,,New car dealership,Verified,High,Analyst,1,2026-01-20 16:31:50,
LANDEN SQUARE 3,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:31:50,
LANDMARK CENTER,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 16:31:50,
LANDMARK SPRINKLER,,landmarksprinkler.com,,238220,,Fire protection services,Verified,High,Analyst,1,2026-01-20 16:31:50,
LAST STOP BREWING,,laststopbrewing.com,,312120,,Craft brewery,Verified,High,Analyst,1,2026-01-20 16:31:50,
LATHAM MECHANICAL,,lathamechanical.com,,238220,,Mechanical/HVAC contracting,Verified,High,Analyst,1,2026-01-20 16:31:50,
