Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Infintech,INFINTECH,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Infintech'),,,FALSE,1
Ipeg Billing,IPEG BILLING,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Ipeg, Inc - Billing')",,,FALSE,1
Ja Fielden,JA FIELDEN,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ja Fielden'),,,FALSE,1
Jamie Endaya,JAMIE ENDAYA,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jamie Endaya'),,,FALSE,1
Jdl Warm,JDL WARM,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jdl Warm'),,,FALSE,1
Jeff Wyler Fairfield,JEFF WYLER FAIRFIELD,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jeff Wyler Fairfield'),,,FALSE,1
Jennifer Banner Residence,JENNIFER BANNER RESIDENCE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jennifer Banner Residence'),,,FALSE,1
Jf Berns,JF BERNS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jf Berns'),,,FALSE,1
Jfk Enterprises,JFK ENTERPRISES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Jfk Enterprises Llc'),,,FALSE,1
Jn Linrose,JN LINROSE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J.N. Linrose'),,,FALSE,1
Johnson and Galyon,JOHNSON AND GALYON,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Johnson & Galyon, Inc.')",,,FALSE,1
Johnsonnorthwest,JOHNSONNORTHWEST,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Johnson-Northwest, Inc')",,,FALSE,1
Jones Lang Lasalle Americas,JONES LANG LASALLE AMERICAS,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Jones Lang Lasalle Americas, Inc')",,,FALSE,1
