Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Kppe,KPPE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Pentagon Group,PENTAGON GROUP,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Perfection Group,PERFECTION GROUP,Unknown / Needs Review,Your organization (internal),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,2
Perfection Mechanical,PERFECTION MECHANICAL,Unknown / Needs Review,Mechanical contractor (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),2382,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,TRUE,8
Rejay Group,REJAY GROUP,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Rgbs Enterprises,RGBS ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Rocky Top Nutrition Billing,ROCKY TOP NUTRITION BILLING,Commercial Services,Retail/health services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Royal Services,ROYAL SERVICES,Commercial Services,Services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sakscom,SAKSCOM,Commercial Services,E-commerce/retail ops (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sandpiper Data Systems,SANDPIPER DATA SYSTEMS,Commercial Services,IT/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Satco,SATCO,Manufacturing,Lighting products (ambiguous entity),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,2
Scenic Industries,SCENIC INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Schumacher Dugan,SCHUMACHER DUGAN,Commercial Services,Professional services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sci,SCI,Commercial Services,Ambiguous acronym,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Scos,SCOS,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Shares,SHARES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Singleton Companies,SINGLETON COMPANIES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Skico,SKICO,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sl Tennessee,SL TENNESSEE,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Smobee,SMOBEE,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Solid Blend Technologies,SOLID BLEND TECHNOLOGIES,Commercial Services,Industrial services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Soltech,SOLTECH,Commercial Services,Technology/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
South Western Communications,SOUTH WESTERN COMMUNICATIONS,Commercial Services,Telecom/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Southern Tennesee Regional,SOUTHERN TENNESEE REGIONAL,Commercial Services,Healthcare or government (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,TRUE,4
Spohn Global Enterprises,SPOHN GLOBAL ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Sssb,SSSB,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Step Resources,STEP RESOURCES,Commercial Services,Energy/resources (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Stratford,STRATFORD,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Summit Express Powell,SUMMIT EXPRESS POWELL,Commercial Services,Retail/service location (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Systecon,SYSTECON,Commercial Services,Consulting/engineering (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
T Rex Arms,T REX ARMS,Commercial Services,Retail (ambiguous),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1
Techmah Cmf,TECHMAH CMF,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Tenbarge,TENBARGE,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Tera Data,TERA DATA,Commercial Services,Technology (unclear entity string),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Thermatronx,THERMATRONX,Manufacturing,Industrial equipment (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Thoth,THOTH,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
