Action,Master Customer Name Canonical,Old,New
Add,CARTER COUNTY FISCAL COURT,,cartercountyky.com
Add,CERTUS MEDICAL,,certusmedsolutions.com
Add,CHARTER COMMUNICATIONS,,charter.com
Add,CINCINNATI BELTING AND TRANSMISSION,,cbtcompany.com
Add,CINCINNATI MILACRON,,milacron.com
Add,CINCINNATI TOOLBANK,,cincinnatitoolbank.org
Add,CITIMARK MANAGEMENT,,citimarkinc.com
Add,CITY LINK CENTER,,citylinkcenter.org
Add,CITY OF CYNTHIANA,,cynthianaky.com
Add,CITY OF FRANKLIN IN,,franklin.in.gov
Add,CITY OF HAMMOND IN,,gohammond.com
Add,CITY OF LAWRENCE INDIANA,,cityoflawrence.org
Add,CITY OF MONROE,,monroeohio.org
Add,CITY OF NORTH COLLEGE HILL,,northcollegehill.org
Add,CITY OF SOUTH CHARLESTON WV,,cityofsouthcharleston.com
Add,CITY OF ST BERNARD,,cityofstbernard.org
Add,CLINTON COUNTY OH,,clinton.oh.us
Add,CORE CONSTRUCTION,,coreconstruction.com
Add,CORNERSTONE LUTHERAN CHURCH,,cornerstonelutheran.church
